ID_A,DESIGNATION,ID_TYPE,ID_FAMILLE,LONGUEUR,LARGEUR,EPAISSEUR,U_Pqt,DIAMETRE,HAUTEUR,QTE_STO,QTE_MIN,CHEMIN_IMG,Qte/U,Vol,TYPE,FAMILLE,UNITE,ID_TARIF,PRIX_U,TX,PV_HT
190,F110v/2.5x110x13,3,6,2.50,110,13,12,0,0,0,0,../images/Frisette.png,0.27500,0.00358,Bois profile,A vernir,M2,30,17872.00,0,17872
193,F60v/2x60x13,3,6,2.00,60,13,20,0,0,0,0,../images/Frisette.png,0.12000,0.00156,Bois profile,A vernir,M2,32,20418.00,0,20418
194,P60v/2x60x26,3,6,2.00,60,26,15,0,0,0,0,../images/Parquet.png,0.12000,0.00312,Bois profile,A vernir,M2,35,26747.00,0,26747
196,F86v/2x86x13,3,6,2.00,86,13,14,0,0,0,0,../images/Frisette.png,0.17200,0.00224,Bois profile,A vernir,M2,31,19139.00,0,19139
197,P86v/2x86x26,3,6,2.00,86,26,10,0,0,0,0,../images/Parquet.png,0.17200,0.00447,Bois profile,A vernir,M2,34,25523.00,0,25523
200,F110v/2x110x13,3,6,2.00,110,13,12,0,0,0,0,../images/Frisette.png,0.22000,0.00286,Bois profile,A vernir,M2,30,17872.00,0,17872
203,F60v/1.5x60x13,3,6,1.50,60,13,20,0,0,0,0,../images/Frisette.png,0.09000,0.00117,Bois profile,A vernir,M2,32,20418.00,0,20418
204,P60v/1.5x60x26,3,6,1.50,60,26,21,0,0,0,0,../images/Parquet.png,0.09000,0.00234,Bois profile,A vernir,M2,35,26747.00,0,26747
206,F86v/1.5x86x13,3,6,1.50,86,13,14,0,0,0,0,../images/Frisette.png,0.12900,0.00168,Bois profile,A vernir,M2,31,19139.00,0,19139
207,P86v/1.5x86x26,3,6,1.50,86,26,10,0,0,0,0,../images/Parquet.png,0.12900,0.00335,Bois profile,A vernir,M2,34,25523.00,0,25523
210,F110v/1.5x110x13,3,6,1.50,110,13,12,0,0,0,0,../images/Frisette.png,0.16500,0.00215,Bois profile,A vernir,M2,30,17872.00,0,17872
213,F60v/1x60x13,3,6,1.00,60,13,40,0,0,0,0,../images/Frisette.png,0.06000,0.00078,Bois profile,A vernir,M2,32,20418.00,0,20418
214,P60v/1x60x26,3,6,1.00,60,26,30,0,0,0,0,../images/Parquet.png,0.06000,0.00156,Bois profile,A vernir,M2,35,26747.00,0,26747
216,F86v/1x86x13,3,6,1.00,86,13,28,0,0,0,0,../images/Frisette.png,0.08600,0.00112,Bois profile,A vernir,M2,31,19139.00,0,19139
217,P86v/1x86x26,3,6,1.00,86,26,20,0,0,0,0,../images/Parquet.png,0.08600,0.00224,Bois profile,A vernir,M2,34,25523.00,0,25523
219,F110v/1x110x13,3,6,1.00,110,13,24,0,0,0,0,../images/Frisette.png,0.11000,0.00143,Bois profile,A vernir,M2,30,17872.00,0,17872
220,F60v/0.75x60x13,3,6,0.75,60,13,40,0,0,0,0,../images/Frisette.png,0.04500,0.00059,Bois profile,A vernir,M2,32,20418.00,0,20418
221,P60v/0.75x60x26,3,6,0.75,60,26,30,0,0,0,0,../images/Parquet.png,0.04500,0.00117,Bois profile,A vernir,M2,35,26747.00,0,26747
222,F86v/0.75x86x13,3,6,0.75,86,13,28,0,0,0,0,../images/Frisette.png,0.06450,0.00084,Bois profile,A vernir,M2,31,19139.00,0,19139
223,P86v/0.75x86x26,3,6,0.75,86,26,20,0,0,0,0,../images/Parquet.png,0.06450,0.00168,Bois profile,A vernir,M2,34,25523.00,0,25523
224,F110v/0.75x110x13,3,6,0.75,110,13,24,0,0,0,0,../images/Frisette.png,0.08250,0.00107,Bois profile,A vernir,M2,30,17872.00,0,17872
225,F60v/0.5x60x13,3,6,0.50,60,13,40,0,0,0,0,../images/Frisette.png,0.03000,0.00039,Bois profile,A vernir,M2,32,20418.00,0,20418
226,P60v/0.5x60x26,3,6,0.50,60,26,30,0,0,0,0,../images/Parquet.png,0.03000,0.00078,Bois profile,A vernir,M2,35,26747.00,0,26747
227,F86v/0.5x86x13,3,6,0.50,86,13,28,0,0,0,0,../images/Frisette.png,0.04300,0.00056,Bois profile,A vernir,M2,31,19139.00,0,19139
228,P86v/0.5x86x26,3,6,0.50,86,26,20,0,0,0,0,../images/Parquet.png,0.04300,0.00112,Bois profile,A vernir,M2,34,25523.00,0,25523
229,F110v/0.5x110x13,3,6,0.50,110,13,24,0,0,0,0,../images/Frisette.png,0.05500,0.00072,Bois profile,A vernir,M2,30,17872.00,0,17872
1,Pl/4x100x25,1,1,4.00,100,25,1,0,0,0,0,../images/Planche.png,0.01000,0.01000,Bois brut,Planche,M3,1,300000.00,0,300000
2,Pl/4x100x22,1,1,4.00,100,22,1,0,0,0,0,../images/Planche.png,0.00880,0.00880,Bois brut,Planche,M3,1,300000.00,0,300000
3,Pl/4x125x25,1,1,4.00,125,25,1,0,0,0,0,../images/Planche.png,0.01250,0.01250,Bois brut,Planche,M3,1,300000.00,0,300000
4,Pl/4x125x22,1,1,4.00,125,22,1,0,0,0,0,../images/Planche.png,0.01100,0.01100,Bois brut,Planche,M3,1,300000.00,0,300000
5,Pl/4x150x25,1,1,4.00,150,25,1,0,0,0,0,../images/Planche.png,0.01500,0.01500,Bois brut,Planche,M3,1,300000.00,0,300000
6,Pl/4x150x22,1,1,4.00,150,22,1,0,0,0,0,../images/Planche.png,0.01320,0.01320,Bois brut,Planche,M3,1,300000.00,0,300000
7,Pl/4x175x25,1,1,4.00,175,25,1,0,0,0,0,../images/Planche.png,0.01750,0.01750,Bois brut,Planche,M3,4,315000.00,0,315000
8,Pl/4x175x22,1,1,4.00,175,22,1,0,0,0,0,../images/Planche.png,0.01540,0.01540,Bois brut,Planche,M3,4,315000.00,0,315000
9,"Pl/2,5x100x25",1,1,2.50,100,25,1,0,0,0,0,../images/Planche.png,0.00625,0.00625,Bois brut,Planche,M3,1,300000.00,0,300000
10,"Pl/2,5x100x22",1,1,2.50,100,22,1,0,0,0,0,../images/Planche.png,0.00550,0.00550,Bois brut,Planche,M3,1,300000.00,0,300000
11,"Pl/2,5x125x25",1,1,2.50,125,25,1,0,0,0,0,../images/Planche.png,0.00781,0.00781,Bois brut,Planche,M3,1,300000.00,0,300000
12,"Pl/2,5x125x22",1,1,2.50,125,22,1,0,0,0,0,../images/Planche.png,0.00688,0.00688,Bois brut,Planche,M3,1,300000.00,0,300000
13,"Pl/2,5x150x25",1,1,2.50,150,25,1,0,0,0,0,../images/Planche.png,0.00938,0.00938,Bois brut,Planche,M3,1,300000.00,0,300000
14,"Pl/2,5x150x22",1,1,2.50,150,22,1,0,0,0,0,../images/Planche.png,0.00825,0.00825,Bois brut,Planche,M3,1,300000.00,0,300000
15,"Pl/2,5x175x25",1,1,2.50,175,25,1,0,0,0,0,../images/Planche.png,0.01094,0.01094,Bois brut,Planche,M3,4,315000.00,0,315000
16,"Pl/2,5x175x22",1,1,2.50,175,22,1,0,0,0,0,../images/Planche.png,0.00963,0.00963,Bois brut,Planche,M3,4,315000.00,0,315000
17,Pl/2x150x25,1,1,2.00,150,25,1,0,0,0,0,../images/Planche.png,0.00750,0.00750,Bois brut,Planche,M3,1,300000.00,0,300000
18,Pl/2x150x22,1,1,2.00,150,22,1,0,0,0,0,../images/Planche.png,0.00660,0.00660,Bois brut,Madrier,M3,1,300000.00,0,300000
19,Pl/2x175x25,1,1,2.00,175,25,1,0,0,0,0,../images/Planche.png,0.00875,0.00875,Bois brut,Planche,M3,4,315000.00,0,315000
20,Pl/2x175x22,1,1,2.00,175,22,1,0,0,0,0,../images/Planche.png,0.00770,0.00770,Bois brut,Planche,M3,4,315000.00,0,315000
21,Ma/5x100x50,1,2,5.00,100,50,1,0,0,0,0,../images/Madrier.png,0.02500,0.02500,Bois brut,Madrier,M3,1,300000.00,25,375000
22,Ma/5x100x63,1,2,5.00,100,63,1,0,0,0,0,../images/Madrier.png,0.03150,0.03150,Bois brut,Madrier,M3,1,300000.00,25,375000
23,Ma/5x100x75,1,2,5.00,100,75,1,0,0,0,0,../images/Madrier.png,0.03750,0.03750,Bois brut,Madrier,M3,1,300000.00,25,375000
24,Ma/5x125x50,1,2,5.00,125,50,1,0,0,0,0,../images/Madrier.png,0.03125,0.03125,Bois brut,Madrier,M3,1,300000.00,25,375000
25,Ma/5x125x63,1,2,5.00,125,63,1,0,0,0,0,../images/Madrier.png,0.03938,0.03938,Bois brut,Madrier,M3,1,300000.00,25,375000
26,Ma/5x125x75,1,2,5.00,125,75,1,0,0,0,0,../images/Madrier.png,0.04688,0.04688,Bois brut,Madrier,M3,1,300000.00,25,375000
27,Ma/5x150x50,1,2,5.00,150,50,1,0,0,0,0,../images/Madrier.png,0.03750,0.03750,Bois brut,Madrier,M3,1,300000.00,25,375000
28,Ma/5x150x63,1,2,5.00,150,63,1,0,0,0,0,../images/Madrier.png,0.04725,0.04725,Bois brut,Madrier,M3,1,300000.00,25,375000
29,Ma/5x150x75,1,2,5.00,150,75,1,0,0,0,0,../images/Madrier.png,0.05625,0.05625,Bois brut,Madrier,M3,1,300000.00,25,375000
30,Ma/5x175x50,1,2,5.00,175,50,1,0,0,0,0,../images/Madrier.png,0.04375,0.04375,Bois brut,Madrier,M3,4,315000.00,25,393750
31,Ma/5x175x63,1,2,5.00,175,63,1,0,0,0,0,../images/Madrier.png,0.05513,0.05513,Bois brut,Madrier,M3,4,315000.00,25,393750
32,Ma/5x175x75,1,2,5.00,175,75,1,0,0,0,0,../images/Madrier.png,0.06563,0.06563,Bois brut,Madrier,M3,4,315000.00,25,393750
33,Ma/4.5x100x50,1,2,4.50,100,50,1,0,0,0,0,../images/Madrier.png,0.02250,0.02250,Bois brut,Madrier,M3,1,300000.00,25,375000
34,Ma/4.5x100x63,1,2,4.50,100,63,1,0,0,0,0,../images/Madrier.png,0.02835,0.02835,Bois brut,Madrier,M3,1,300000.00,25,375000
35,Ma/4.5x100x75,1,2,4.50,100,75,1,0,0,0,0,../images/Madrier.png,0.03375,0.03375,Bois brut,Madrier,M3,1,300000.00,25,375000
36,Ma/4.5x125x50,1,2,4.50,125,50,1,0,0,0,0,../images/Madrier.png,0.02813,0.02813,Bois brut,Madrier,M3,1,300000.00,25,375000
37,Ma/4.5x125x63,1,2,4.50,125,63,1,0,0,0,0,../images/Madrier.png,0.03544,0.03544,Bois brut,Madrier,M3,1,300000.00,25,375000
38,Ma/4.5x125x75,1,2,4.50,125,75,1,0,0,0,0,../images/Madrier.png,0.04219,0.04219,Bois brut,Madrier,M3,1,300000.00,25,375000
39,Ma/4.5x150x50,1,2,4.50,150,50,1,0,0,0,0,../images/Madrier.png,0.03375,0.03375,Bois brut,Madrier,M3,1,300000.00,25,375000
40,Ma/4.5x150x63,1,2,4.50,150,63,1,0,0,0,0,../images/Madrier.png,0.04253,0.04253,Bois brut,Madrier,M3,1,300000.00,25,375000
41,Ma/4.5x150x75,1,2,4.50,150,75,1,0,0,0,0,../images/Madrier.png,0.05063,0.05063,Bois brut,Madrier,M3,1,300000.00,25,375000
42,"Ma/4,5x175x50",1,2,4.50,175,50,1,0,0,0,0,../images/Madrier.png,0.03938,0.03938,Bois brut,Madrier,M3,4,315000.00,25,393750
43,"Ma/4,5x175x63",1,2,4.50,175,63,1,0,0,0,0,../images/Madrier.png,0.04961,0.04961,Bois brut,Madrier,M3,4,315000.00,25,393750
44,"Ma/4,5x175x75",1,2,4.50,175,75,1,0,0,0,0,../images/Madrier.png,0.05906,0.05906,Bois brut,Madrier,M3,4,315000.00,25,393750
45,Ma/4x100x50,1,2,4.00,100,50,1,0,0,0,0,../images/Madrier.png,0.02000,0.02000,Bois brut,Madrier,M3,1,300000.00,0,300000
46,Ma/4x100x63,1,2,4.00,100,63,1,0,0,0,0,../images/Madrier.png,0.02520,0.02520,Bois brut,Madrier,M3,1,300000.00,0,300000
47,Ma/4x100x75,1,2,4.00,100,75,1,0,0,0,0,../images/Madrier.png,0.03000,0.03000,Bois brut,Madrier,M3,1,300000.00,0,300000
48,Ma/4x125x50,1,2,4.00,125,50,1,0,0,0,0,../images/Madrier.png,0.02500,0.02500,Bois brut,Madrier,M3,1,300000.00,0,300000
49,Ma/4x125x63,1,2,4.00,125,63,1,0,0,0,0,../images/Madrier.png,0.03150,0.03150,Bois brut,Madrier,M3,1,300000.00,0,300000
50,Ma/4x125x75,1,2,4.00,125,75,1,0,0,0,0,../images/Madrier.png,0.03750,0.03750,Bois brut,Madrier,M3,1,300000.00,0,300000
51,Ma/4x150x50,1,2,4.00,150,50,1,0,0,0,0,../images/Madrier.png,0.03000,0.03000,Bois brut,Madrier,M3,1,300000.00,0,300000
52,Ma/4x150x63,1,2,4.00,150,63,1,0,0,0,0,../images/Madrier.png,0.03780,0.03780,Bois brut,Madrier,M3,1,300000.00,0,300000
53,Ma/4x150x75,1,2,4.00,150,75,1,0,0,0,0,../images/Madrier.png,0.04500,0.04500,Bois brut,Madrier,M3,1,300000.00,0,300000
54,Ma/4x175x50,1,2,4.00,175,50,1,0,0,0,0,../images/Madrier.png,0.03500,0.03500,Bois brut,Madrier,M3,4,315000.00,0,315000
55,Ma/4x175x63,1,2,4.00,175,63,1,0,0,0,0,../images/Madrier.png,0.04410,0.04410,Bois brut,Madrier,M3,4,315000.00,0,315000
56,Ma/4x175x75,1,2,4.00,175,75,1,0,0,0,0,../images/Madrier.png,0.05250,0.05250,Bois brut,Madrier,M3,4,315000.00,0,315000
57,"Ma/2,5x100x50",1,2,2.50,100,50,1,0,0,0,0,../images/Madrier.png,0.01250,0.01250,Bois brut,Madrier,M3,4,315000.00,0,315000
58,"Ma/2,5x100x63",1,2,2.50,100,63,1,0,0,0,0,../images/Madrier.png,0.01575,0.01575,Bois brut,Madrier,M3,4,315000.00,0,315000
59,"Ma/2,5x100x75",1,2,2.50,100,75,1,0,0,0,0,../images/Madrier.png,0.01875,0.01875,Bois brut,Madrier,M3,4,315000.00,0,315000
60,"Ma/2,5x125x50",1,2,2.50,125,50,1,0,0,0,0,../images/Madrier.png,0.01563,0.01563,Bois brut,Madrier,M3,4,315000.00,0,315000
61,"Ma/2,5x125x63",1,2,2.50,125,63,1,0,0,0,0,../images/Madrier.png,0.01969,0.01969,Bois brut,Madrier,M3,4,315000.00,0,315000
62,"Ma/2,5x125x75",1,2,2.50,125,75,1,0,0,0,0,../images/Madrier.png,0.02344,0.02344,Bois brut,Madrier,M3,4,315000.00,0,315000
63,"Ma/2,5x150x50",1,2,2.50,150,50,1,0,0,0,0,../images/Madrier.png,0.01875,0.01875,Bois brut,Madrier,M3,4,315000.00,0,315000
64,"Ma/2,5x150x63",1,2,2.50,150,63,1,0,0,0,0,../images/Madrier.png,0.02363,0.02363,Bois brut,Madrier,M3,4,315000.00,0,315000
65,"Ma/2,5x150x75",1,2,2.50,150,75,1,0,0,0,0,../images/Madrier.png,0.02813,0.02813,Bois brut,Madrier,M3,4,315000.00,0,315000
66,"Ma/2,5x175x50",1,2,2.50,175,50,1,0,0,0,0,../images/Madrier.png,0.02188,0.02188,Bois brut,Madrier,M3,4,315000.00,0,315000
67,"Ma/2,5x175x63",1,2,2.50,175,63,1,0,0,0,0,../images/Madrier.png,0.02756,0.02756,Bois brut,Madrier,M3,4,315000.00,0,315000
68,"Ma/2,5x175x75",1,2,2.50,175,75,1,0,0,0,0,../images/Madrier.png,0.03281,0.03281,Bois brut,Madrier,M3,4,315000.00,0,315000
69,Ba/4x100x32,1,3,4.00,100,32,1,0,0,0,0,../images/Battant.png,0.01280,0.01280,Bois brut,Battant,M3,1,300000.00,0,300000
70,Ba/4x100x38,1,3,4.00,100,38,1,0,0,0,0,../images/Battant.png,0.01520,0.01520,Bois brut,Battant,M3,1,300000.00,0,300000
71,Ba/4x100x44,1,3,4.00,100,44,1,0,0,0,0,../images/Battant.png,0.01760,0.01760,Bois brut,Battant,M3,1,300000.00,0,300000
72,Ba/4.5x100x32,1,3,4.50,100,32,1,0,0,0,0,../images/Battant.png,0.01440,0.01440,Bois brut,Battant,M3,1,300000.00,25,375000
73,Ba/4.5x100x38,1,3,4.50,100,38,1,0,0,0,0,../images/Battant.png,0.01710,0.01710,Bois brut,Battant,M3,1,300000.00,25,375000
74,Ba/4.5x100x44,1,3,4.50,100,44,1,0,0,0,0,../images/Battant.png,0.01980,0.01980,Bois brut,Battant,M3,1,300000.00,25,375000
75,Ba/4x125x32,1,3,4.00,125,32,1,0,0,0,0,../images/Battant.png,0.01600,0.01600,Bois brut,Battant,M3,1,300000.00,0,300000
76,Ba/4x125x38,1,3,4.00,125,38,1,0,0,0,0,../images/Battant.png,0.01900,0.01900,Bois brut,Battant,M3,1,300000.00,0,300000
77,Ba/4x125x44,1,3,4.00,125,44,1,0,0,0,0,../images/Battant.png,0.02200,0.02200,Bois brut,Battant,M3,1,300000.00,0,300000
78,Ba/4.5x125x32,1,3,4.50,125,32,1,0,0,0,0,../images/Battant.png,0.01800,0.01800,Bois brut,Battant,M3,1,300000.00,25,375000
79,Ba/4.5x125x38,1,3,4.50,125,38,1,0,0,0,0,../images/Battant.png,0.02138,0.02138,Bois brut,Battant,M3,1,300000.00,25,375000
80,Ba/4.5x125x44,1,3,4.50,125,44,1,0,0,0,0,../images/Battant.png,0.02138,0.02475,Bois brut,Battant,M3,1,300000.00,25,300000
81,Ba/4x150x32,1,3,4.00,150,32,1,0,0,0,0,../images/Battant.png,0.01920,0.01920,Bois brut,Battant,M3,1,300000.00,0,300000
82,Ba/4x150x38,1,3,4.00,150,38,1,0,0,0,0,../images/Battant.png,0.02280,0.02280,Bois brut,Battant,M3,1,300000.00,0,300000
83,Ba/4x150x44,1,3,4.00,150,44,1,0,0,0,0,../images/Battant.png,0.02640,0.02640,Bois brut,Battant,M3,1,300000.00,0,300000
84,Ba/4.5x150x32,1,3,4.50,150,32,1,0,0,0,0,../images/Battant.png,0.02160,0.02160,Bois brut,Battant,M3,1,300000.00,25,375000
85,Ba/4.5x150x38,1,3,4.50,150,38,1,0,0,0,0,../images/Battant.png,0.02565,0.02565,Bois brut,Battant,M3,1,300000.00,25,375000
86,Ba/4.5x150x44,1,3,4.50,150,44,1,0,0,0,0,../images/Battant.png,0.02970,0.02970,Bois brut,Battant,M3,1,300000.00,25,375000
87,Ba/4x175x32,1,3,4.00,175,32,1,0,0,0,0,../images/Battant.png,0.02240,0.02240,Bois brut,Battant,M3,4,315000.00,0,315000
88,Ba/4x175x38,1,3,4.00,175,38,1,0,0,0,0,../images/Battant.png,0.02660,0.02660,Bois brut,Battant,M3,4,315000.00,0,315000
89,Ba/4x175x44,1,3,4.00,175,44,1,0,0,0,0,../images/Battant.png,0.03080,0.03080,Bois brut,Battant,M3,4,315000.00,0,315000
90,Ba/4.5x175x32,1,3,4.50,175,32,1,0,0,0,0,../images/Battant.png,0.02520,0.02520,Bois brut,Battant,M3,4,315000.00,25,393750
91,Ba/4.5x175x38,1,3,4.50,175,38,1,0,0,0,0,../images/Battant.png,0.02993,0.02993,Bois brut,Battant,M3,4,315000.00,25,393750
92,Ba/4.5x175x44,1,3,4.50,175,44,1,0,0,0,0,../images/Battant.png,0.03465,0.03465,Bois brut,Battant,M3,4,315000.00,25,393750
93,"Ba/2,5x50x38",1,3,2.50,50,38,1,0,0,0,0,../images/Battant.png,0.00475,0.00475,Bois brut,Battant,M3,6,325000.00,0,325000
94,"Ba/2,5x100x32",1,3,2.50,100,32,1,0,0,0,0,../images/Battant.png,0.00800,0.00800,Bois brut,Battant,M3,1,300000.00,0,300000
95,"Ba/2,5x100x38",1,3,2.50,100,38,1,0,0,0,0,../images/Battant.png,0.00950,0.00950,Bois brut,Battant,M3,1,300000.00,0,300000
96,"Ba/2,5x100x44",1,3,2.50,100,44,1,0,0,0,0,../images/Battant.png,0.01100,0.01100,Bois brut,Battant,M3,1,300000.00,0,300000
97,"Ba/2,5x125x32",1,3,2.50,125,32,1,0,0,0,0,../images/Battant.png,0.01000,0.01000,Bois brut,Battant,M3,1,300000.00,0,300000
98,"Ba/2,5x125x38",1,3,2.50,125,38,1,0,0,0,0,../images/Battant.png,0.01188,0.01188,Bois brut,Battant,M3,1,300000.00,0,300000
99,"Ba/2,5x125x44",1,3,2.50,125,44,1,0,0,0,0,../images/Battant.png,0.01375,0.01375,Bois brut,Battant,M3,1,300000.00,0,300000
100,"Ba/2,5x150x32",1,3,2.50,150,32,1,0,0,0,0,../images/Madrier.png,0.01200,0.01200,Bois brut,Madrier,M3,1,300000.00,0,300000
101,"Ba/2,5x150x38",1,3,2.50,150,38,1,0,0,0,0,../images/Madrier.png,0.01425,0.01425,Bois brut,Madrier,M3,1,300000.00,0,300000
102,"Ba/2,5x150x44",1,3,2.50,150,44,1,0,0,0,0,../images/Madrier.png,0.01650,0.01650,Bois brut,Madrier,M3,1,300000.00,0,300000
103,"Ba/2,5x175x32",1,3,2.50,175,32,1,0,0,0,0,../images/Madrier.png,0.01400,0.01400,Bois brut,Madrier,M3,4,315000.00,0,315000
104,"Ba/2,5x175x38",1,3,2.50,175,38,1,0,0,0,0,../images/Madrier.png,0.01663,0.01663,Bois brut,Madrier,M3,4,315000.00,0,315000
105,"Ba/2,5x175x44",1,3,2.50,175,44,1,0,0,0,0,../images/Madrier.png,0.01925,0.01925,Bois brut,Madrier,M3,4,315000.00,0,315000
106,Ba/2x100x32,1,3,2.00,100,32,1,0,0,0,0,../images/Battant.png,0.00640,0.00640,Bois brut,Battant,M3,1,300000.00,0,300000
107,Ba/2x100x38,1,3,2.00,100,38,1,0,0,0,0,../images/Battant.png,0.00760,0.00760,Bois brut,Battant,M3,1,300000.00,0,300000
108,Ba/2x100x44,1,3,2.00,100,44,1,0,0,0,0,../images/Battant.png,0.00880,0.00880,Bois brut,Battant,M3,1,300000.00,0,300000
109,Ba/2x125x32,1,3,2.00,125,32,1,0,0,0,0,../images/Battant.png,0.00800,0.00800,Bois brut,Battant,M3,1,300000.00,0,300000
